label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,Blank,IO_12C_01,IO_12C_02,IO_12C_03
,1862,1862,3,201.070984,13.615,0.802922,,,201.070984@13.615347,201.070984@13.615347,,0.000,0.000000,201.070984,199440.88,1707249.38,1650294.62,1142485.38
,1863,1863,3,177.019287,4.024,0.839907,,,177.019287@4.023521,177.019287@4.023521,,0.000,0.000000,177.019287,7058.71,71933.26,103760.65,110230.79
,1864,1864,3,342.969391,14.052,0.838108,,,342.969391@14.051811,342.969391@14.051811,,0.000,0.000000,342.969391,0.00,114296.96,93909.32,59629.12
,1865,1865,3,491.359253,4.071,0.850824,,,491.359253@4.070775,491.359253@4.070775,,0.000,0.000000,491.359253,2725.33,75436.71,72122.63,78934.08
,1866,1866,3,472.302917,7.114,0.851255,,,472.302917@7.114475,472.302917@7.114475,,0.000,0.000000,472.302917,3855.71,107216.81,101169.66,83264.84
,1867,1867,3,402.028320,13.826,0.850120,,,402.028320@13.826350,402.028320@13.826350,,0.000,0.000000,402.028320,0.00,115721.44,66378.94,108855.07
,1868,1868,2,407.223053,2.551,0.848145,,,407.223053@2.550683,407.223053@2.550683,,0.000,0.000000,407.223053,31397.85,39295.98,83628.40,71506.12
,1869,1869,4,297.218536,4.142,0.850806,,,297.218536@4.141729,297.218536@4.141729,,0.000,0.000000,297.218536,12163.54,80929.30,96800.31,69501.88
,1870,1870,4,87.008774,4.107,0.827973,,,87.008774@4.107221,87.008774@4.107221,,0.000,0.000000,87.008774,1138399.25,21130806.00,22202792.00,19556866.00
,1871,1871,3,87.008789,7.174,0.567209,,,87.008789@7.174425,87.008789@7.174425,,0.000,0.000000,87.008789,169574.66,665558.12,754496.75,532556.31
,1872,1872,3,87.008789,12.083,0.821918,,,87.008789@12.082717,87.008789@12.082717,,0.000,0.000000,87.008789,4418.44,1044697.00,1353847.88,886073.06
,1873,1873,4,491.300568,5.801,0.695533,,,491.300568@5.800763,491.300568@5.800763,,0.000,0.000000,491.300568,13968.16,88811.84,67647.69,42170.75
,1874,1874,4,178.528839,7.258,0.843134,,,178.528839@7.258263,178.528839@7.258263,,0.000,0.000000,178.528839,31580.08,70598.60,86142.65,48417.17
,1875,1875,1,224.148575,4.147,0.845263,,,224.148575@4.146566,224.148575@4.146566,,0.000,0.000000,224.148575,28278.41,83563.07,80739.71,65710.84
,1876,1876,3,218.045868,4.112,0.837438,,,218.045868@4.112020,218.045868@4.112020,,0.000,0.000000,218.045868,3267.80,91479.81,79868.23,60082.80
,1877,1877,4,98.955872,13.609,0.832460,,,98.955872@13.608763,98.955872@13.608763,,0.000,0.000000,98.955872,1784493.00,24862486.00,27890954.00,20085936.00
,1878,1878,2,738.592773,7.236,0.852227,,,738.592773@7.236500,738.592773@7.236500,,0.000,0.000000,738.592773,0.00,83135.37,98989.93,85767.02
,1879,1879,2,573.331726,2.215,0.829415,,,573.331726@2.215275,573.331726@2.215275,,0.000,0.000000,573.331726,14437.96,99859.12,20844.62,13321.58
