label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,blank,RT_12C_01,RT_12C_02,RT_12C_03
,3269,3269,3,358.064972,3.042,0.846308,,,358.064972@3.042362,358.064972@3.042362,,0.000,0.000000,358.064972,47668.92,166463.41,164543.16,123144.69
,3270,3270,2,578.487305,2.352,0.694483,,,578.487305@2.351878,578.487305@2.351878,,0.000,0.000000,578.487305,0.00,148741.05,134708.09,138748.41
,3271,3271,1,272.936707,3.475,0.847530,,,272.936707@3.474696,272.936707@3.474696,,0.000,0.000000,272.936707,79917.74,181836.67,144993.12,202250.81
,3272,3272,4,224.148621,4.161,0.816286,,,224.148621@4.160604,224.148621@4.160604,,0.000,0.000000,224.148621,28844.56,149872.23,106911.88,175629.17
,3273,3273,4,488.236267,3.056,0.851695,,,488.236267@3.056379,488.236267@3.056379,,0.000,0.000000,488.236267,18848.03,173277.62,194119.45,166004.50
,3274,3274,4,109.040741,13.397,0.828008,,,109.040741@13.396501,109.040741@13.396501,,0.000,0.000000,109.040741,10664.33,182833.92,193716.25,173335.80
,3275,3275,3,836.538391,6.979,0.809598,,,836.538391@6.978511,836.538391@6.978511,,0.000,0.000000,836.538391,0.00,166448.31,195534.45,138551.81
,3276,3276,4,355.285400,2.262,0.852519,,,355.285400@2.262133,355.285400@2.262133,,0.000,0.000000,355.285400,20980.08,176168.36,129832.20,118310.75
,3277,3277,1,108.996277,3.905,0.701977,,,108.996277@3.904996,108.996277@3.904996,,0.000,0.000000,108.996277,98656.97,212613.27,192623.70,247165.58
,3278,3278,4,181.050659,2.886,0.806804,,,181.050659@2.886500,181.050659@2.886500,,0.000,0.000000,181.050659,37590.99,170241.78,132386.91,190820.25
,3279,3279,3,466.090637,3.972,0.852685,,,466.090637@3.972217,466.090637@3.972217,,0.000,0.000000,466.090637,6565.55,145662.61,176660.92,153602.14
,3280,3280,1,148.906570,2.617,0.731672,,,148.906570@2.617355,148.906570@2.617355,,0.000,0.000000,148.906570,0.00,23950.62,74212.71,44253.18
,3281,3281,3,297.207153,2.689,0.822353,,,297.207153@2.689279,297.207153@2.689279,,0.000,0.000000,297.207153,12991.63,192743.86,72937.30,185496.44
,3282,3282,3,170.506027,4.089,0.707723,,,170.506027@4.089311,170.506027@4.089311,,0.000,0.000000,170.506027,0.00,162394.08,135866.64,130933.00
,3283,3283,3,374.773438,13.551,0.851508,,,374.773438@13.551234,374.773438@13.551234,,0.000,0.000000,374.773438,0.00,196470.73,150706.33,178713.94
,3284,3284,2,330.891968,13.886,0.851192,,,330.891968@13.885616,330.891968@13.885616,,0.000,0.000000,330.891968,3285.26,163052.23,142748.55,115397.57
,3285,3285,1,70.688751,2.397,0.536151,,,70.688751@2.396989,70.688751@2.396989,,0.000,0.000000,70.688751,0.00,104821.80,111050.49,122520.12
,3286,3286,2,388.117950,13.791,0.852347,,,388.117950@13.790717,388.117950@13.790717,,0.000,0.000000,388.117950,0.00,202552.89,191624.81,106115.24
,3287,3287,4,310.177704,1.987,0.835972,,,310.177704@1.986833,310.177704@1.986833,,0.000,0.000000,310.177704,64716.27,141768.23,199413.17,90829.77
,3288,3288,3,263.165344,4.074,0.826473,,,263.165344@4.073658,263.165344@4.073658,,0.000,0.000000,263.165344,6462.06,179295.48,194908.42,163425.38
